step,total,seconds_per_merge,affected,freq
645,31743,1.25,4193,1460000.0
646,31743,1.09,11588,1450000.0
647,31743,1.33,6609,1440000.0
648,31743,1.71,1930,1440000.0
649,31743,1.24,65,1440000.0
650,31743,1.19,11799,1440000.0
651,31743,1.0,11510,1440000.0
652,31743,0.8547008547008548,6956,1440000.0
653,31743,0.8474576271186441,3466,1430000.0
654,31743,1.5,19742,1430000.0
655,31743,1.6,15309,1430000.0
656,31743,1.34,2486,1420000.0
657,31743,1.05,1805,1420000.0
658,31743,0.819672131147541,4388,1420000.0
659,31743,0.9523809523809523,5184,1420000.0
660,31743,0.7462686567164178,32,1420000.0
661,31743,0.7575757575757576,18279,1420000.0
662,31743,0.7142857142857143,3350,1420000.0
663,31743,0.591715976331361,400,1420000.0
664,31743,0.5555555555555556,737,1410000.0
665,31743,0.5555555555555556,499,1410000.0
666,31743,0.49504950495049505,8264,1410000.0
667,31743,0.8620689655172414,348,1410000.0
668,31743,0.6711409395973155,3080,1400000.0
669,31743,0.6329113924050632,1776,1400000.0
670,31743,0.6578947368421053,5288,1400000.0
671,31743,1.01,4270,1390000.0
672,31743,1.18,645,1390000.0
673,31743,1.07,1258,1380000.0
674,31743,1.32,90,1380000.0
675,31743,1.32,9476,1380000.0
676,31743,0.8928571428571428,450,1380000.0
677,31743,0.7692307692307692,2779,1380000.0
678,31743,0.6060606060606061,8728,1380000.0
679,31743,0.6896551724137931,8359,1370000.0
680,31743,0.7575757575757576,1904,1370000.0
681,31743,0.7042253521126761,264,1370000.0
682,31743,0.7518796992481203,2027,1370000.0
683,31743,0.6493506493506493,18309,1360000.0
684,31743,1.29,12236,1360000.0
685,31743,1.24,6310,1360000.0
686,31743,1.28,13198,1360000.0
687,31743,1.05,19317,1360000.0
688,31743,0.9803921568627451,3070,1350000.0
689,31743,0.9345794392523364,728,1350000.0
690,31743,0.6896551724137931,144,1350000.0
691,31743,1.06,3218,1350000.0
692,31743,0.8928571428571428,147,1340000.0
693,31743,1.03,1305,1340000.0
694,31743,0.78125,185,1340000.0
695,31743,0.9523809523809523,230,1340000.0
